province,region,lat,lon,province_pcode
Basilan,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),6.5788698,122.12724425,PH19007
Lanao Del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),7.78185002,124.34850175,PH19036
Maguindanao,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),7.18955064,124.25404525,PH19087
Sulu,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),5.97358443,121.15629622,PH19066
Tawi-Tawi,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),5.19783787,120.0342535,PH19070
Abra,Cordillera Administrative Region (CAR),17.5639419,120.7996429,PH14001
Apayao,Cordillera Administrative Region (CAR),18.08946758,121.19680305,PH14081
Benguet,Cordillera Administrative Region (CAR),16.55348834,120.70264554,PH14011
Ifugao,Cordillera Administrative Region (CAR),16.82368566,121.1700354,PH14027
Kalinga,Cordillera Administrative Region (CAR),17.42996788,121.31300079,PH14032
Mountain Province,Cordillera Administrative Region (CAR),17.05592758,121.05256767,PH14044
Marinduque,Mimaropa Region,13.38482909,121.98254897,PH17040
Occidental Mindoro,Mimaropa Region,12.86934587,121.01371755,PH17051
Oriental Mindoro,Mimaropa Region,12.86676633,121.36614097,PH17052
Palawan,Mimaropa Region,12.14507988,120.02798499,PH17053
Romblon,Mimaropa Region,12.386653,122.58659184,PH17059
NCR,National Capital Region (NCR),14.59932236,120.98493761,PH13039
Ilocos Norte,Region I (Ilocos Region),18.21820507,120.73941457,PH01028
Ilocos Sur,Region I (Ilocos Region),17.28746596,120.53033434,PH01029
La Union,Region I (Ilocos Region),16.56110332,120.41695417,PH01033
Pangasinan,Region I (Ilocos Region),16.00595322,120.33322685,PH01055
Batanes,Region II (Cagayan Valley),20.7621812,121.84616566,PH02009
Cagayan,Region II (Cagayan Valley),18.06401878,121.81553421,PH02015
Isabela,Region II (Cagayan Valley),16.98951132,122.01735492,PH02031
Nueva Vizcaya,Region II (Cagayan Valley),16.25504614,121.10957184,PH02050
Quirino,Region II (Cagayan Valley),16.28469367,121.67692906,PH02057
Aurora,Region III (Central Luzon),15.75281079,121.45850071,PH03077
Bataan,Region III (Central Luzon),14.66513774,120.42775986,PH03008
Bulacan,Region III (Central Luzon),14.98035044,121.10858957,PH03014
Nueva Ecija,Region III (Central Luzon),15.65687999,120.99079632,PH03049
Pampanga,Region III (Central Luzon),15.02291883,120.65665641,PH03054
Tarlac,Region III (Central Luzon),15.51461276,120.46262572,PH03069
Zambales,Region III (Central Luzon),15.30595813,120.11937122,PH03071
Batangas,Region IV-A (Calabarzon),13.91360708,121.03701312,PH04010
Cavite,Region IV-A (Calabarzon),14.27838709,120.85146283,PH04021
Laguna,Region IV-A (Calabarzon),14.27956327,121.51097425,PH04034
Quezon,Region IV-A (Calabarzon),14.18943105,121.67080334,PH04056
Rizal,Region IV-A (Calabarzon),14.56063868,121.26839748,PH04058
City Of Isabela,Region IX (Zamboanga Peninsula),6.65293735,121.97727941,PH09097
Zamboanga Del Norte,Region IX (Zamboanga Peninsula),7.93327397,122.42699002,PH09072
Zamboanga Del Sur,Region IX (Zamboanga Peninsula),7.81459,123.25706509,PH09073
