sid,season,name,forecast_time,latitude,longitude,msw_kmh,cat
24-TC01,2024,AGHON,2024-05-24 14:00:00,9.4,127.6,45.0,TD
24-TC01,2024,AGHON,2024-05-24 20:00:00,9.7,127.5,55.0,TD
24-TC01,2024,AGHON,2024-05-25 02:00:00,10.7,125.9,65.0,TS
24-TC01,2024,AGHON,2024-05-25 05:00:00,11.1,125.6,65.0,TS
24-TC01,2024,AGHON,2024-05-25 08:00:00,12.0,124.7,55.0,TD
24-TC01,2024,AGHON,2024-05-25 11:00:00,12.4,124.3,55.0,TD
24-TC01,2024,AGHON,2024-05-25 14:00:00,13.1,123.5,,
24-TC01,2024,AGHON,2024-05-25 17:00:00,13.4,123.0,55.0,TD
24-TC01,2024,AGHON,2024-05-25 20:00:00,13.7,122.6,55.0,TD
24-TC01,2024,AGHON,2024-05-25 23:00:00,13.9,121.7,55.0,TD
24-TC01,2024,AGHON,2024-05-26 02:00:00,13.6,121.4,55.0,TD
24-TC01,2024,AGHON,2024-05-26 05:00:00,13.9,121.5,55.0,TD
24-TC01,2024,AGHON,2024-05-26 08:00:00,14.3,121.4,55.0,TD
24-TC01,2024,AGHON,2024-05-26 11:00:00,14.7,121.5,55.0,TD
24-TC01,2024,AGHON,2024-05-26 14:00:00,14.6,121.5,65.0,TS
24-TC01,2024,AGHON,2024-05-26 17:00:00,14.8,121.7,75.0,TS
24-TC01,2024,AGHON,2024-05-26 20:00:00,14.8,121.8,85.0,TS
24-TC01,2024,AGHON,2024-05-26 23:00:00,15.8,122.0,65.0,TS
24-TC01,2024,AGHON,2024-05-27 02:00:00,15.3,122.5,100.0,STS
24-TC01,2024,AGHON,2024-05-27 05:00:00,15.6,122.8,110.0,STS
24-TC01,2024,AGHON,2024-05-27 08:00:00,16.3,123.0,130.0,TY
24-TC01,2024,AGHON,2024-05-27 11:00:00,16.6,123.2,150.0,TY
24-TC01,2024,AGHON,2024-05-27 14:00:00,17.0,123.2,150.0,TY
24-TC01,2024,AGHON,2024-05-27 17:00:00,17.3,123.6,150.0,TY
24-TC01,2024,AGHON,2024-05-27 20:00:00,17.1,123.8,150.0,TY
24-TC01,2024,AGHON,2024-05-27 23:00:00,17.9,124.5,155.0,TY
24-TC01,2024,AGHON,2024-05-28 02:00:00,17.7,124.6,150.0,TY
24-TC01,2024,AGHON,2024-05-28 05:00:00,19.0,125.3,150.0,TY
24-TC01,2024,AGHON,2024-05-28 08:00:00,18.8,125.6,140.0,TY
24-TC01,2024,AGHON,2024-05-28 11:00:00,19.8,126.5,155.0,TY
24-TC01,2024,AGHON,2024-05-28 14:00:00,19.8,126.6,70.0,TY
