sid,season,name,issued_time,forecast_time,latitude,longitude,msw_kmh,cat,tcws_1,tcws_2,tcws_3,tcws_4,tcws_5
24-TC01,2024,AGHON,2024-05-24 05:00:00,2024-05-24 14:00:00,9.4,127.6,45.0,TD,Eastern Samar,,,,
24-TC01,2024,AGHON,2024-05-24 11:00:00,2024-05-24 20:00:00,9.7,127.5,55.0,TD,Surigao Del Sur; Southern Leyte; Camarines Sur; Catanduanes; Leyte,,,,
24-TC01,2024,AGHON,2024-05-24 17:00:00,2024-05-25 02:00:00,10.7,125.9,65.0,TS,Quezon; Bohol,,,,
24-TC01,2024,AGHON,2024-05-24 20:00:00,2024-05-25 05:00:00,11.1,125.6,65.0,TS,Camarines Sur; Catanduanes; Sorsogon; Albay; Bohol,,,,
24-TC01,2024,AGHON,2024-05-24 23:00:00,2024-05-25 08:00:00,12.0,124.7,55.0,TD,Agusan Del Sur; Camarines Sur; Bohol,,,,
24-TC01,2024,AGHON,2024-05-25 02:00:00,2024-05-25 11:00:00,12.4,124.3,55.0,TD,Camarines Sur; Bohol,,,,
24-TC01,2024,AGHON,2024-05-25 05:00:00,2024-05-25 14:00:00,13.1,123.5,,,Romblon; Quezon,,,,
24-TC01,2024,AGHON,2024-05-25 08:00:00,2024-05-25 17:00:00,13.4,123.0,55.0,TD,Romblon,,,,
24-TC01,2024,AGHON,2024-05-25 11:00:00,2024-05-25 20:00:00,13.7,122.6,55.0,TD,Laguna; Leyte,,,,
24-TC01,2024,AGHON,2024-05-25 14:00:00,2024-05-25 23:00:00,13.9,121.7,55.0,TD,Oriental Mindoro; Marinduque; Laguna; Rizal,,,,
24-TC01,2024,AGHON,2024-05-25 17:00:00,2024-05-26 02:00:00,13.6,121.4,55.0,TD,NCR; Batangas,,,,
24-TC01,2024,AGHON,2024-05-25 20:00:00,2024-05-26 05:00:00,13.9,121.5,55.0,TD,Batangas,,,,
24-TC01,2024,AGHON,2024-05-25 23:00:00,2024-05-26 08:00:00,14.3,121.4,55.0,TD,NCR; Batangas,,,,
24-TC01,2024,AGHON,2024-05-26 02:00:00,2024-05-26 11:00:00,14.7,121.5,55.0,TD,NCR; Batangas,,,,
24-TC01,2024,AGHON,2024-05-26 05:00:00,2024-05-26 14:00:00,14.6,121.5,65.0,TS,NCR; Pampanga; Bulacan; Cavite; Laguna; Quezon; Rizal,,,,
24-TC01,2024,AGHON,2024-05-26 08:00:00,2024-05-26 17:00:00,14.8,121.7,75.0,TS,NCR; Pampanga; Bulacan; Cavite; Quezon,Batangas; Laguna; Rizal,,,
24-TC01,2024,AGHON,2024-05-26 11:00:00,2024-05-26 20:00:00,14.8,121.8,85.0,TS,Pampanga; Aurora,Batangas; Laguna,,,
24-TC01,2024,AGHON,2024-05-26 02:00:00,2024-05-26 23:00:00,15.8,122.0,65.0,TS,NCR; Batangas,,,,
24-TC01,2024,AGHON,2024-05-26 17:00:00,2024-05-27 02:00:00,15.3,122.5,100.0,STS,Pampanga; Bataan,Batangas,,,
24-TC01,2024,AGHON,2024-05-26 20:00:00,2024-05-27 05:00:00,15.6,122.8,110.0,STS,Pampanga; Bataan,NCR; Batangas; Laguna,,,
24-TC01,2024,AGHON,2024-05-26 23:00:00,2024-05-27 08:00:00,16.3,123.0,130.0,TY,Pampanga,Camarines Norte; Quezon,,,
24-TC01,2024,AGHON,2024-05-27 02:00:00,2024-05-27 11:00:00,16.6,123.2,150.0,TY,NCR; Bulacan; Cavite; Laguna; Rizal,Aurora; Quezon,,,
24-TC01,2024,AGHON,2024-05-27 05:00:00,2024-05-27 14:00:00,17.0,123.2,150.0,TY,Bulacan; Rizal,Aurora,,,
24-TC01,2024,AGHON,2024-05-27 08:00:00,2024-05-27 17:00:00,17.3,123.6,150.0,TY,Nueva Vizcaya; Quirino; Quezon,Isabela; Aurora,,,
24-TC01,2024,AGHON,2024-05-27 11:00:00,2024-05-27 20:00:00,17.1,123.8,150.0,TY,Nueva Vizcaya; Quirino; Quezon,Isabela; Aurora,,,
24-TC01,2024,AGHON,2024-05-27 02:00:00,2024-05-27 23:00:00,17.9,124.5,155.0,TY,NCR; Bulacan; Cavite; Laguna; Rizal,Aurora; Quezon,,,
24-TC01,2024,AGHON,2024-05-27 17:00:00,2024-05-28 02:00:00,17.7,124.6,150.0,TY,Aurora; Quezon,,,,
24-TC01,2024,AGHON,2024-05-27 08:00:00,2024-05-28 05:00:00,19.0,125.3,150.0,TY,Nueva Vizcaya; Quirino; Quezon,Isabela; Aurora,,,
24-TC01,2024,AGHON,2024-05-27 23:00:00,2024-05-28 08:00:00,18.8,125.6,140.0,TY,Isabela; Aurora,,,,
24-TC01,2024,AGHON,2024-05-27 02:00:00,2024-05-28 11:00:00,19.8,126.5,155.0,TY,NCR; Bulacan; Cavite; Laguna; Rizal,Aurora; Quezon,,,
24-TC01,2024,AGHON,2024-05-28 05:00:00,2024-05-28 14:00:00,19.8,126.6,70.0,TY,,,,,
24-TC01,2024,AGHON,2024-05-27 08:00:00,2024-05-28 17:00:00,21.3,127.8,155.0,TY,Nueva Vizcaya; Quirino; Quezon,Isabela; Aurora,,,
24-TC01,2024,AGHON,2024-05-28 11:00:00,2024-05-28 20:00:00,20.8,127.8,140.0,TY,,,,,
24-TC01,2024,AGHON,2024-05-27 02:00:00,2024-05-28 23:00:00,22.1,129.0,155.0,TY,NCR; Bulacan; Cavite; Laguna; Rizal,Aurora; Quezon,,,
24-TC01,2024,AGHON,2024-05-28 17:00:00,2024-05-29 02:00:00,22.6,129.4,140.0,TY,,,,,
24-TC01,2024,AGHON,2024-05-27 08:00:00,2024-05-29 05:00:00,23.7,130.5,155.0,TY,Nueva Vizcaya; Quirino; Quezon,Isabela; Aurora,,,
24-TC01,2024,AGHON,2024-05-28 23:00:00,2024-05-29 08:00:00,24.1,130.5,120.0,TY,,,,,
24-TC01,2024,AGHON,2024-05-27 02:00:00,2024-05-29 11:00:00,24.5,131.5,150.0,TY,NCR; Bulacan; Cavite; Laguna; Rizal,Aurora; Quezon,,,
24-TC01,2024,AGHON,2024-05-29 05:00:00,2024-05-29 14:00:00,25.5,131.9,130.0,TY,,,,,
24-TC01,2024,AGHON,2024-05-27 08:00:00,2024-05-29 17:00:00,25.8,133.1,150.0,TY,Nueva Vizcaya; Quirino; Quezon,Isabela; Aurora,,,
24-TC01,2024,AGHON,2024-05-29 11:00:00,2024-05-29 20:00:00,26.3,132.8,120.0,TY,,,,,
24-TC01,2024,AGHON,2024-05-27 02:00:00,2024-05-29 23:00:00,26.5,133.9,140.0,TY,NCR; Bulacan; Cavite; Laguna; Rizal,Aurora; Quezon,,,
24-TC01,2024,AGHON,2024-05-29 17:00:00,2024-05-30 02:00:00,27.5,134.2,110.0,STS,,,,,
24-TC01,2024,AGHON,2024-05-27 08:00:00,2024-05-30 05:00:00,28.2,136.0,140.0,TY,Nueva Vizcaya; Quirino; Quezon,Isabela; Aurora,,,
24-TC01,2024,AGHON,2024-05-29 11:00:00,2024-05-30 08:00:00,28.2,134.7,100.0,STS,,,,,
24-TC01,2024,AGHON,2024-05-25 14:00:00,2024-05-30 11:00:00,32.5,142.0,95.0,STS,Oriental Mindoro; Marinduque; Laguna; Rizal,,,,
24-TC01,2024,AGHON,2024-05-29 17:00:00,2024-05-30 14:00:00,29.4,136.2,100.0,STS,,,,,
24-TC01,2024,AGHON,2024-05-26 20:00:00,2024-05-30 17:00:00,28.5,136.9,100.0,STS,Pampanga; Bataan,NCR; Batangas; Laguna,,,
24-TC01,2024,AGHON,2024-05-26 23:00:00,2024-05-30 20:00:00,29.6,138.2,100.0,STS,Pampanga,Camarines Norte; Quezon,,,
24-TC01,2024,AGHON,2024-05-27 02:00:00,2024-05-30 23:00:00,30.1,138.9,110.0,STS,NCR; Bulacan; Cavite; Laguna; Rizal,Aurora; Quezon,,,
24-TC02,2024,BUTCHOY,2024-07-19 23:00:00,2024-07-20 08:00:00,15.5,113.7,55.0,TD,,,,,
24-TC02,2024,BUTCHOY,2024-07-20 05:00:00,2024-07-20 14:00:00,15.4,112.9,55.0,TD,,,,,
24-TC02,2024,BUTCHOY,2024-07-20 11:00:00,2024-07-20 20:00:00,15.5,113.1,55.0,TD,,,,,
24-TC02,2024,BUTCHOY,2024-07-20 05:00:00,2024-07-21 02:00:00,15.7,111.5,65.0,TS,,,,,
24-TC02,2024,BUTCHOY,2024-07-20 11:00:00,2024-07-21 08:00:00,15.8,112.2,65.0,TS,,,,,
