sid,season,name,time,latitude,longitude,wmo_wind
,year,,UTC,degrees_north,degrees_east,kts
2022088N09116,2022,UNNAMED,2022-03-29T00:00:00Z,9.4,116.4,NaN
2022088N09116,2022,UNNAMED,2022-03-29T03:00:00Z,9.9,115.9,NaN
2022088N09116,2022,UNNAMED,2022-03-29T06:00:00Z,10.3,115.4,NaN
2022088N09116,2022,UNNAMED,2022-03-29T09:00:00Z,10.6,114.9,NaN
2022088N09116,2022,UNNAMED,2022-03-29T12:00:00Z,10.9,114.3,NaN
2022088N09116,2022,UNNAMED,2022-03-29T15:00:00Z,11.2,113.6,NaN
2022088N09116,2022,UNNAMED,2022-03-29T18:00:00Z,11.4,112.9,NaN
2022088N09116,2022,UNNAMED,2022-03-29T21:00:00Z,11.5,112.2,NaN
2022088N09116,2022,UNNAMED,2022-03-30T00:00:00Z,11.6,111.6,NaN
2022088N09116,2022,UNNAMED,2022-03-30T03:00:00Z,11.8,111.0,NaN
2022088N09116,2022,UNNAMED,2022-03-30T06:00:00Z,11.9,110.5,NaN
2022088N09116,2022,UNNAMED,2022-03-30T09:00:00Z,11.8,110.2,NaN
2022088N09116,2022,UNNAMED,2022-03-30T12:00:00Z,11.7,110.1,NaN
2022088N09116,2022,UNNAMED,2022-03-30T15:00:00Z,12.1,109.9,NaN
2022088N09116,2022,UNNAMED,2022-03-30T18:00:00Z,12.5,109.7,NaN
2022088N09116,2022,UNNAMED,2022-03-30T21:00:00Z,12.7,109.6,NaN
2022088N09116,2022,UNNAMED,2022-03-31T00:00:00Z,12.9,109.3,NaN
2022088N09116,2022,UNNAMED,2022-03-31T03:00:00Z,13.2,108.7,NaN
2022088N09116,2022,UNNAMED,2022-03-31T06:00:00Z,13.5,108.1,NaN
2022088N09116,2022,UNNAMED,2022-03-31T09:00:00Z,13.7,107.5,NaN
2022088N09116,2022,UNNAMED,2022-03-31T12:00:00Z,13.8,107.1,NaN
2022088N09116,2022,UNNAMED,2022-03-31T15:00:00Z,13.9,106.8,NaN
2022088N09116,2022,UNNAMED,2022-03-31T18:00:00Z,14.0,106.6,NaN
2022088N09116,2022,UNNAMED,2022-03-31T21:00:00Z,14.3,106.3,NaN
2022088N09116,2022,UNNAMED,2022-04-01T00:00:00Z,14.7,106.0,NaN
2022088N09116,2022,UNNAMED,2022-04-01T03:00:00Z,15.0,105.5,NaN
2022088N09116,2022,UNNAMED,2022-04-01T06:00:00Z,15.2,104.9,NaN
2022096N03150,2022,MALAKAS,2022-04-06T06:00:00Z,3.4,150.2,NaN
2022096N03150,2022,MALAKAS,2022-04-06T09:00:00Z,3.4,149.9,NaN
2022096N03150,2022,MALAKAS,2022-04-06T12:00:00Z,3.5,149.6,NaN
2022096N03150,2022,MALAKAS,2022-04-06T15:00:00Z,3.4,149.3,NaN
2022096N03150,2022,MALAKAS,2022-04-06T18:00:00Z,3.4,149.1,NaN
2022096N03150,2022,MALAKAS,2022-04-06T21:00:00Z,3.6,148.7,NaN
2022096N03150,2022,MALAKAS,2022-04-07T00:00:00Z,3.7,148.4,NaN
2022096N03150,2022,MALAKAS,2022-04-07T03:00:00Z,3.9,148.0,NaN
2022096N03150,2022,MALAKAS,2022-04-07T06:00:00Z,3.9,147.6,NaN
2022096N03150,2022,MALAKAS,2022-04-07T09:00:00Z,4.0,147.3,NaN
2022096N03150,2022,MALAKAS,2022-04-07T12:00:00Z,4.1,147.1,NaN
2022096N03150,2022,MALAKAS,2022-04-07T15:00:00Z,4.2,146.8,NaN
2022096N03150,2022,MALAKAS,2022-04-07T18:00:00Z,4.4,146.5,NaN
2022096N03150,2022,MALAKAS,2022-04-07T21:00:00Z,4.6,146.3,NaN
2022096N03150,2022,MALAKAS,2022-04-08T00:00:00Z,5.0,146.2,35
2022096N03150,2022,MALAKAS,2022-04-08T03:00:00Z,5.3,146.1,NaN
2022096N03150,2022,MALAKAS,2022-04-08T06:00:00Z,5.6,145.8,35
2022096N03150,2022,MALAKAS,2022-04-08T09:00:00Z,5.9,145.6,NaN
2022096N03150,2022,MALAKAS,2022-04-08T12:00:00Z,6.2,145.3,35
2022096N03150,2022,MALAKAS,2022-04-08T15:00:00Z,6.4,145.0,NaN
2022096N03150,2022,MALAKAS,2022-04-08T18:00:00Z,6.6,144.8,40
2022096N03150,2022,MALAKAS,2022-04-08T21:00:00Z,6.8,144.6,NaN
2022096N03150,2022,MALAKAS,2022-04-09T00:00:00Z,7.1,144.4,40
2022096N03150,2022,MALAKAS,2022-04-09T03:00:00Z,7.3,144.1,NaN
2022096N03150,2022,MALAKAS,2022-04-09T06:00:00Z,7.5,143.6,40
